width;length;MT
45;302;1800
68;603;-1
68;603;1365
34;603;-1
34;603;2166
34;905;-1
34;905;8068
57;1207;4983
34;905;-1
34;905;6182
57;905;2967
90;302;499
45;302;984
68;302;500
79;905;1834
45;603;2082
57;1207;3149
79;1207;2482
68;1207;2417
68;905;1696
79;1207;2400
90;1207;1782
34;603;2934
102;1207;1301
68;302;351
34;1207;5249
79;302;335
90;603;566
102;302;232
45;603;1600
90;905;1483
34;1207;5250
79;905;1417
79;603;832
79;1207;1833
79;905;1482
68;603;983
68;905;1333
90;1207;1634
23;603;5733
102;1207;1883
102;302;433
79;603;1450
79;905;1984
102;1207;1867
57;905;2833
57;905;3066
102;905;1484
68;302;749
79;1207;-1
79;1207;4000
57;603;2200
90;302;234
90;905;1549
57;302;951
68;302;833
79;1207;2199
79;905;1916
68;603;1301
45;1207;4818
34;603;4550
102;1207;1433
90;302;550
68;603;1165
90;1207;1233
57;1207;3533
34;603;2917
57;302;417
45;302;733
57;302;301
90;905;2233
102;905;1466
45;302;733
68;603;883
57;1207;2899
90;302;416
34;905;-1
34;905;3000
45;905;2900
102;1207;1299
102;603;784
34;302;1267
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;23099
102;603;534
68;905;1000
23;302;-1
23;302;-1
23;302;2617
57;603;1299
90;302;267
57;1207;2584
57;603;1283
34;905;3267
102;302;318
68;905;1834
23;302;2683
90;603;633
23;905;-1
23;905;7933
68;905;1400
90;905;1118
45;1207;3168
45;905;2335
45;1207;-1
45;1207;-1
45;1207;4118
23;905;-1
23;905;8683
68;1207;1966
23;603;3866
45;302;549
34;1207;4317
90;603;666
34;1207;-1
34;1207;5699
57;302;283
90;905;966
79;603;733
23;603;-1
23;603;5032
23;302;-1
23;302;-1
23;302;1749
102;302;150
90;603;749
45;1207;-1
45;1207;4766
45;1207;3250
23;302;1801
79;603;583
68;1207;-1
68;1207;-1
68;1207;-1
68;1207;4515
79;302;432
57;905;3182
57;603;2116
79;302;467
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;10817
79;302;-1
79;302;283
57;302;534
34;603;-1
34;603;-1
34;603;3933
68;302;368
102;905;951
23;302;3066
45;603;2050
102;603;583
102;603;699
23;603;-1
23;603;5833
23;905;14899
102;603;566
90;1207;2249
57;905;-1
57;905;2333
68;1207;2834
34;302;1851
34;905;-1
34;905;-1
34;905;7832
45;905;4083
23;1207;-1
23;1207;-1
23;1207;28649
57;603;1283
23;1207;22916
45;603;-1
45;603;1383
79;302;-1
79;302;116
102;905;1600
45;603;3384
34;302;1684
102;302;584
79;603;1049
34;302;-1
34;302;1233
23;1207;19450
34;1207;-1
34;1207;7817
68;1207;3033
23;905;-1
23;905;-1
23;905;-1
23;905;11617
90;603;785
23;1207;-1
23;1207;13533
90;1207;1450
102;905;1083
34;302;1334
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;15967
45;905;-1
45;905;3566
45;905;3884
