compensation;width;length;MT
50;57;302;512
50;57;905;796
50;102;603;603
50;90;603;-1
50;90;603;345
50;34;603;763
50;34;302;316
50;79;302;86
50;79;302;142
50;57;1207;-1
50;57;1207;1642
50;79;302;199
50;34;1207;1505
50;57;1207;-1
50;57;1207;927
33;102;1207;-1
33;102;1207;-1
33;102;1207;-1
33;102;1207;-1
33;102;1207;-1
33;102;1207;-1
33;102;1207;-1
33;102;1207;-1
33;102;1207;-1
33;102;1207;257
33;102;603;88
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;9480
33;68;905;-1
33;68;905;1261
33;79;603;-1
33;79;603;-1
33;79;603;201
33;90;905;-1
33;90;905;-1
33;90;905;-1
33;90;905;-1
33;90;905;-1
33;90;905;-1
33;90;905;-1
33;90;905;290
33;34;905;-1
33;34;905;-1
33;34;905;-1
33;34;905;-1
33;34;905;1954
33;79;1207;-1
33;79;1207;379
33;68;1207;-1
33;68;1207;-1
33;68;1207;666
33;57;603;87
33;79;603;-1
33;79;603;200
33;79;302;57
50;57;1207;-1
50;57;1207;332
50;45;1207;287
50;79;905;174
50;34;905;320
50;90;1207;348
50;79;905;-1
50;79;905;-1
50;79;905;-1
50;79;905;-1
50;79;905;-1
50;79;905;323
50;57;603;-1
50;57;603;202
50;79;1207;-1
50;79;1207;232
50;45;302;-1
50;45;302;57
50;79;603;-1
50;79;603;-1
50;79;603;145
50;45;603;117
50;79;603;118
33;68;302;-1
33;68;302;-1
33;68;302;-1
33;68;302;58
33;79;603;115
33;90;302;57
33;90;1207;177
33;34;905;-1
33;34;905;351
33;68;1207;322
33;90;1207;327
33;90;603;148
33;102;603;147
33;79;302;85
33;57;603;146
33;102;302;58
0;34;302;584
0;102;1207;331
0;57;1207;3019
0;102;302;58
0;90;603;202
0;68;905;209
0;57;302;58
0;79;302;-1
0;79;302;32
0;102;302;60
0;90;302;-1
0;90;302;29
0;79;302;-1
0;79;302;117
0;34;1207;-1
0;34;1207;-1
0;34;1207;176
33;34;905;120
33;45;603;122
33;102;1207;272
33;57;1207;-1
33;57;1207;-1
33;57;1207;180
33;102;603;61
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;128
33;68;603;-1
33;68;603;-1
33;68;603;121
33;90;905;90
33;57;1207;122
33;102;905;90
33;79;302;29
33;68;1207;-1
33;68;1207;-1
33;68;1207;237
0;90;1207;-1
0;90;1207;152
0;79;905;90
0;68;302;30
0;90;603;87
0;68;603;89
0;79;603;-1
0;79;603;-1
0;79;603;184
0;57;905;152
0;68;1207;-1
0;68;1207;-1
0;68;1207;-1
0;68;1207;-1
0;68;1207;-1
0;68;1207;94
0;102;905;60
0;34;302;33
0;90;603;123
0;102;603;-1
0;102;603;60
50;102;302;64
50;34;302;-1
50;34;302;91
50;68;905;152
50;68;905;29
50;79;905;110
50;68;603;64
50;90;302;-1
50;90;302;55
50;68;1207;120
50;90;302;58
50;102;603;61
50;90;302;31
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;125
67;79;905;205
67;34;302;59
67;57;302;63
67;57;905;90
67;34;905;181
67;68;302;56
67;90;905;151
67;45;302;33
67;102;1207;152
67;90;302;30
67;102;1207;180
67;45;302;89
33;45;1207;-1
33;45;1207;-1
33;45;1207;151
33;68;302;-1
33;68;302;59
33;68;603;154
33;57;603;61
33;68;905;-1
33;68;905;274
33;57;1207;-1
33;57;1207;124
33;79;905;187
33;79;1207;154
33;90;1207;246
33;102;302;-1
33;102;302;781
33;79;1207;-1
33;79;1207;183
33;102;1207;-1
33;102;1207;273
0;45;302;30
0;68;302;30
0;102;603;245
0;34;905;120
0;57;1207;-1
0;57;1207;181
0;102;603;58
0;102;905;1622
0;68;302;59
0;79;905;197
0;102;302;93
0;57;603;91
0;79;1207;151
50;45;603;-1
50;45;603;-1
50;45;603;-1
50;45;603;171
50;45;905;-1
50;45;905;187
50;90;603;-1
50;90;603;-1
50;90;603;229
50;90;603;123
50;34;1207;-1
50;34;1207;-1
50;34;1207;181
50;68;302;30
50;34;603;122
50;68;905;122
50;68;302;-1
50;68;302;-1
50;68;302;86
50;34;302;-1
50;34;302;30
50;57;302;755
50;90;1207;181
33;34;1207;-1
33;34;1207;61
33;102;905;223
33;68;302;62
33;45;302;-1
33;45;302;92
33;68;603;89
33;57;905;92
33;45;603;91
33;90;905;58
33;79;905;92
33;102;905;-1
33;102;905;63
33;90;302;31
33;45;302;91
50;90;905;308
50;102;1207;153
50;45;1207;151
50;68;603;-1
50;68;603;198
50;79;603;151
50;57;905;171
50;68;603;-1
50;68;603;90
50;102;1207;215
50;45;603;122
50;57;302;63
50;68;1207;238
50;102;302;63
100;45;905;-1
100;45;905;-1
100;45;905;-1
100;45;905;-1
100;45;905;-1
100;45;905;92
100;68;905;-1
100;68;905;-1
100;68;905;89
100;79;603;62
100;102;905;121
100;79;603;29
100;90;905;-1
100;90;905;89
100;68;603;61
100;45;1207;115
100;102;603;-1
100;102;603;28
100;102;603;90
100;102;603;73
100;34;1207;-1
100;34;1207;-1
100;34;1207;94
50;34;603;84
50;57;905;61
50;45;302;62
50;102;1207;113
50;45;1207;-1
50;45;1207;-1
50;45;1207;58
50;102;603;60
50;90;1207;141
50;79;1207;145
50;102;302;28
50;90;905;143
50;57;603;-1
50;57;603;89
50;45;302;-1
50;45;302;-1
50;45;302;58
67;57;1207;-1
67;57;1207;93
67;34;905;-1
67;34;905;151
67;79;1207;-1
67;79;1207;-1
67;79;1207;183
67;79;603;89
67;90;302;30
67;45;302;29
67;102;302;30
67;79;905;120
67;34;1207;-1
67;34;1207;89
67;102;603;59
67;90;302;95
67;57;905;-1
67;57;905;-1
67;57;905;92
33;45;302;59
33;45;905;-1
33;45;905;-1
33;45;905;-1
