compensation;width;length;MT
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;6211
100;102;603;-1
100;102;603;1101
100;79;1207;3281
100;34;905;-1
100;34;905;3267
100;90;603;815
100;45;905;3015
100;79;302;-1
100;79;302;28
100;102;603;-1
100;102;603;-1
100;102;603;1163
100;57;905;-1
100;57;905;2020
100;68;603;-1
100;68;603;-1
100;68;603;-1
100;68;603;-1
100;68;603;1040
100;34;603;1614
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;4379
50;79;1207;-1
50;79;1207;1713
50;68;603;985
50;34;302;82
50;79;603;783
50;79;603;371
50;57;302;126
50;102;302;85
50;34;603;598
50;34;1207;2939
50;79;603;424
50;102;1207;-1
50;102;1207;1568
50;102;1207;-1
50;102;1207;896
0;90;905;456
0;57;1207;-1
0;57;1207;-1
0;57;1207;2418
0;90;905;506
0;79;905;626
0;57;603;482
0;68;302;452
0;34;905;1356
0;102;1207;1150
0;102;905;616
0;57;1207;-1
0;57;1207;2411
0;102;302;55
0;45;603;901
100;34;1207;-1
100;34;1207;2978
100;102;1207;-1
100;102;1207;1133
100;90;302;200
100;90;603;196
100;68;603;142
100;68;603;152
100;57;302;678
100;45;603;-1
100;45;603;-1
100;45;603;1535
100;45;905;1376
100;45;1207;3434
100;102;302;-1
100;102;302;-1
100;102;302;288
100;79;603;88
50;57;603;946
50;34;603;-1
50;34;603;1376
50;34;1207;1514
50;45;1207;1369
50;79;302;287
50;34;302;403
50;45;302;87
50;34;905;1129
50;68;905;666
50;34;1207;2868
50;90;905;1180
50;90;302;374
33;90;603;581
33;90;302;203
33;90;603;553
33;57;603;320
33;90;603;58
33;34;905;-1
33;34;905;-1
33;34;905;-1
33;34;905;2700
33;79;905;472
33;79;905;674
33;102;603;639
33;79;905;555
33;45;603;-1
33;45;603;877
33;45;905;1925
0;90;302;-1
0;90;302;207
0;34;603;-1
0;34;603;-1
0;34;603;1398
0;79;302;144
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;4922
0;90;1207;972
0;102;905;648
0;57;1207;1115
0;90;905;560
0;90;603;265
0;45;905;1213
0;45;302;60
0;68;603;206
50;57;1207;1942
50;68;1207;1925
50;79;1207;953
50;34;905;1266
50;90;1207;-1
50;90;1207;1365
50;102;302;87
50;57;1207;1737
50;34;302;565
50;45;302;59
50;68;603;-1
50;68;603;-1
50;68;603;1269
50;90;603;535
50;102;302;30
100;102;905;537
100;68;1207;1377
100;57;905;412
100;102;1207;564
100;90;1207;358
100;79;905;267
100;102;1207;295
100;57;905;391
100;57;1207;-1
100;57;1207;-1
100;57;1207;1221
100;102;603;149
