;Participant;Latency;Difficulty;MT in ms;SD
0;1;-50;2.960784314;33.5;2.121320344
1;1;-50;3.355555556;29;10.39230485
2;1;-50;3.82278481;43.25;10.1447852
3;1;-50;4.441176471;35.66666667;17.50238079
4;1;-50;5.298245614;23.66666667;10.69267662
5;1;-50;5.911764706;106;50.91168825
6;1;-50;6.7;76;55.21775077
7;1;-50;6.711111111;28.2;22.26432123
8;1;-50;7.632911392;82.6;51.51989907
9;1;-50;8.867647059;98.2;81.35539318
10;1;-50;8.87254902;181.3333333;86.03100216
11;1;-50;8.882352941;37.6;22.07487259
12;1;-50;10.05555556;105.6666667;28.86751346
13;1;-50;10.57894737;18;
14;1;-50;11.4556962;93.25;50.92068997
15;1;-50;11.83333333;108.6;36.30840123
16;1;-50;13.30882353;68.66666667;14.0118997
17;1;-50;13.4;67;25.96150997
18;1;-50;13.41111111;166.2;116.3838477
19;1;-50;15.27848101;134.2;89.53602627
20;1;-50;15.87719298;159.5;122.3294731
21;1;-50;17.73529412;105;
22;1;-50;17.75;131.75;37.87149324
23;1;-50;20.11111111;137.4;109.5686999
24;1;-50;21.1754386;135.75;76.32114168
25;1;-50;26.61764706;96;35.35533906
26;1;-50;26.82222222;;
27;1;-50;35.5;149.25;72.56893275
28;1;-16.67;2.960784314;44.5;13.43502884
29;1;-16.67;3.355555556;67.33333333;72.15492591
30;1;-16.67;3.82278481;42.5;10.60660172
31;1;-16.67;4.441176471;27.6;8.876936408
32;1;-16.67;5.298245614;55;45.97281806
33;1;-16.67;5.911764706;35.25;24.52719579
34;1;-16.67;6.7;62.5;64.34671709
35;1;-16.67;6.711111111;53;
36;1;-16.67;7.632911392;92.75;49.35162949
37;1;-16.67;8.867647059;54;
38;1;-16.67;8.87254902;101.8;84.28641646
39;1;-16.67;8.882352941;46;18.1934054
40;1;-16.67;10.05555556;100.75;60.01874707
41;1;-16.67;10.57894737;36.5;0.707106781
42;1;-16.67;11.4556962;137.75;75.34089195
43;1;-16.67;11.83333333;182.2;117.2761698
44;1;-16.67;13.30882353;118.6;49.46513924
45;1;-16.67;13.4;88.83333333;37.71162509
46;1;-16.67;13.41111111;153;55.38050198
47;1;-16.67;15.27848101;125.6666667;29.77135088
48;1;-16.67;15.87719298;143.8;78.08456954
49;1;-16.67;17.73529412;1022;1865.745249
50;1;-16.67;17.75;151.6666667;63.57934675
51;1;-16.67;20.11111111;115.5;64.2935974
52;1;-16.67;21.1754386;129;99.28074671
53;1;-16.67;26.61764706;92.33333333;44.73626419
54;1;-16.67;26.82222222;;
55;1;-16.67;35.5;182.5;82.69018483
56;1;0;2.960784314;42.2;17.94993036
57;1;0;3.355555556;52.66666667;45.7762675
58;1;0;3.82278481;42.6;24.00624919
59;1;0;4.441176471;36;
60;1;0;5.298245614;27.5;12.02081528
61;1;0;5.911764706;54.5;0.707106781
62;1;0;6.7;70;49.49747468
63;1;0;6.711111111;27;14.14213562
64;1;0;7.632911392;53.5;23.33452378
65;1;0;8.867647059;87;30.31501278
66;1;0;8.87254902;117;66.46803743
67;1;0;8.882352941;45.5;23.69950773
68;1;0;10.05555556;144.6666667;100.0466558
69;1;0;10.57894737;44.5;13.43502884
70;1;0;11.4556962;138.6;91.63132652
71;1;0;11.83333333;78.5;10.60660172
72;1;0;13.30882353;148.3333333;74.19119445
73;1;0;13.4;72.5;51.61879503
74;1;0;13.41111111;220.6666667;82.98393419
75;1;0;15.27848101;216.25;99.2181939
76;1;0;15.87719298;129.6666667;52.5483904
77;1;0;17.73529412;117.5;64.34671709
78;1;0;17.75;101.6;30.37762334
79;1;0;20.11111111;117.6666667;80.16441438
80;1;0;21.1754386;166;85.58037158
81;1;0;26.61764706;119.3333333;21.38535324
82;1;0;26.82222222;184.6666667;54.63820397
83;1;0;35.5;160.5;152.027958
84;1;16.67;2.960784314;27;9.16515139
85;1;16.67;3.355555556;29.66666667;10.11599394
86;1;16.67;3.82278481;31;17.4164673
87;1;16.67;4.441176471;27;11.3137085
88;1;16.67;5.298245614;126;128.6934342
89;1;16.67;5.911764706;54;25.45584412
90;1;16.67;6.7;55.75;15.47847968
91;1;16.67;6.711111111;42.66666667;27.30079364
92;1;16.67;7.632911392;70;50.91168825
93;1;16.67;8.867647059;72;25.45584412
94;1;16.67;8.87254902;106.8;48.9509959
95;1;16.67;8.882352941;74.16666667;76.0773729
96;1;16.67;10.05555556;81;16.15549442
97;1;16.67;10.57894737;74.8;18.82020191
98;1;16.67;11.4556962;84.25;30.32463245
99;1;16.67;11.83333333;970.3333333;1139.401744
100;1;16.67;13.30882353;235.75;68.60211367
101;1;16.67;13.4;126;124.2642346
102;1;16.67;13.41111111;367.6;479.3639536
103;1;16.67;15.27848101;145.4;30.75386155
104;1;16.67;15.87719298;2954.25;5504.138587
105;1;16.67;17.73529412;216.3333333;184.5110656
106;1;16.67;17.75;464.5;427.0007806
107;1;16.67;20.11111111;255.8;249.9333911
108;1;16.67;21.1754386;258.8;302.0011589
109;1;16.67;26.61764706;79;9.237604307
110;1;16.67;26.82222222;132.75;104.0236351
111;1;16.67;35.5;89;
112;1;50;2.960784314;31.25;9.53502316
113;1;50;3.355555556;48.75;29.43212531
114;1;50;3.82278481;36;2.828427125
115;1;50;4.441176471;44.5;18.33939294
116;1;50;5.298245614;49;20.80865205
117;1;50;5.911764706;65;9.539392014
118;1;50;6.7;60;8.485281374
119;1;50;6.711111111;30;11.26942767
120;1;50;7.632911392;72.5;50.20458146
121;1;50;8.867647059;36;
122;1;50;8.87254902;123.3333333;17.03917056
123;1;50;8.882352941;103.6666667;52.27172595
124;1;50;10.05555556;276;185.2619767
125;1;50;10.57894737;84.5;40.51748594
126;1;50;11.4556962;113;10.39230485
127;1;50;11.83333333;174;94.27088628
128;1;50;13.30882353;330.6666667;312.7144597
129;1;50;13.4;89;35
130;1;50;13.41111111;123.6666667;44.61315202
131;1;50;15.27848101;242;41.07310556
132;1;50;15.87719298;166.6666667;104.7345852
133;1;50;17.73529412;58.66666667;40.12895879
134;1;50;17.75;97.5;40.30508653
135;1;50;20.11111111;108;53.74011537
136;1;50;21.1754386;121.8;24.89377432
137;1;50;26.61764706;224;80.91559388
138;1;50;26.82222222;306.6666667;256.7515011
139;1;50;35.5;134;11.3137085
140;2;-50;2.960784314;55.33333333;27.50151511
141;2;-50;3.355555556;59;27.51363298
142;2;-50;3.82278481;163.3333333;108.2142936
143;2;-50;4.441176471;57.33333333;0.577350269
144;2;-50;5.298245614;273;351.8465575
145;2;-50;5.911764706;452;236.8353859
146;2;-50;6.7;557.3333333;287.7939077
147;2;-50;6.711111111;288;153.453576
148;2;-50;7.632911392;289.3333333;141.7368454
149;2;-50;8.867647059;388.6666667;431.6646075
150;2;-50;8.87254902;395;244.0717108
151;2;-50;8.882352941;160;153.2579525
152;2;-50;10.05555556;397.6666667;184.1122846
153;2;-50;10.57894737;455.6666667;108.029317
154;2;-50;11.4556962;753;264.4333564
155;2;-50;11.83333333;228.6666667;159.3120627
156;2;-50;13.30882353;627;525.215194
157;2;-50;13.4;540;339.7705108
158;2;-50;13.41111111;1123.666667;792.2097786
159;2;-50;15.27848101;762.6666667;490.6855748
160;2;-50;15.87719298;952.6666667;150.6397469
161;2;-50;17.73529412;395;219.4607026
162;2;-50;17.75;377.6666667;163.5002548
163;2;-50;20.11111111;393.6666667;243.9555971
164;2;-50;21.1754386;385.3333333;309.542135
165;2;-50;26.61764706;582.3333333;582.2837224
166;2;-50;26.82222222;339.3333333;134.7046151
167;2;-50;35.5;801.6666667;155.0945948
168;2;-16.67;2.960784314;254;147.2175261
169;2;-16.67;3.355555556;91.33333333;109.7011091
170;2;-16.67;3.82278481;84;28.51315486
171;2;-16.67;4.441176471;168;118.6086
172;2;-16.67;5.298245614;172;122.9674754
173;2;-16.67;5.911764706;288;107.196082
174;2;-16.67;6.7;604;376.9283752
175;2;-16.67;6.711111111;65.33333333;45.76388678
176;2;-16.67;7.632911392;241;265.8702691
177;2;-16.67;8.867647059;114;87.50428561
178;2;-16.67;8.87254902;213.6666667;87.94505861
179;2;-16.67;8.882352941;133;42.93017587
180;2;-16.67;10.05555556;354;165.0121208
181;2;-16.67;10.57894737;378.3333333;348.2446458
182;2;-16.67;11.4556962;707;382.7571031
183;2;-16.67;11.83333333;819;467.7958957
184;2;-16.67;13.30882353;377.6666667;167.407686
185;2;-16.67;13.4;239;30.5122926
186;2;-16.67;13.41111111;559;197.744785
